query,target
What’s the performance of Motilal Oswal Equity Savings Fund over the last 5 years?,Motilal Oswal Equity Savings Fund
How volatile is Kotak Savings Fund?,Kotak Savings Fund
Is Quant Consumption Fund suitable for high-risk investors?,Quant Consumption Fund
What is the minimum investment for Edelweiss ASEAN Equity Off-shore Fund?,Edelweiss ASEAN Equity Off-shore Fund
Does Canara Robeco Treasury Advantage Fund offer SWP?,Canara Robeco Treasury Advantage Fund
What’s the portfolio duration of UTI Treasury Advantage Fund?,UTI Treasury Advantage Fund
How has DSP Sectoral Pharma Fund performed against BSE Healthcare?,DSP Sectoral Pharma Fund
Is Motilal Oswal Nifty Midcap 100 ETF good for midcap exposure?,Motilal Oswal Nifty Midcap 100 ETF
What is the risk level of Kotak Credit Opportunities Fund?,Kotak Credit Opportunities Fund
Does Edelweiss Liquid Plus Fund allow SIP investments?,Edelweiss Liquid Plus Fund
What’s the performance of Canara Robeco Balanced Fund over 3 years?,Canara Robeco Balanced Fund
How volatile is Quant Value Equity Fund?,Quant Value Equity Fund
Is UTI Nifty 200 Momentum 30 Index Fund good for momentum investing?,UTI Nifty 200 Momentum 30 Index Fund
What is the minimum SIP amount for DSP Gilt Fund?,DSP Gilt Fund
Does Motilal Oswal Multi Asset Fund have a dividend option?,Motilal Oswal Multi Asset Fund
What’s the benchmark for Kotak US Equity Fund?,Kotak US Equity Fund
How has Edelweiss Equity Growth Fund performed since launch?,Edelweiss Equity Growth Fund
Is Canara Robeco Short Term Fund suitable for emergency savings?,Canara Robeco Short Term Fund
What is the expense ratio of Quant Natural Resources Fund?,Quant Natural Resources Fund
Does UTI Short Duration Fund offer a growth plan?,UTI Short Duration Fund
What’s the performance of DSP Multi Sector Fund over the last 1 year?,DSP Multi Sector Fund
How volatile is Motilal Oswal Sectoral Banking Fund?,Motilal Oswal Sectoral Banking Fund
Is Kotak Nifty Financial Services Index Fund good for financial exposure?,Kotak Nifty Financial Services Index Fund
What is the minimum redemption amount for Edelweiss Treasury Fund?,Edelweiss Treasury Fund
Does Canara Robeco Dynamic Advantage Fund allow SWP?,Canara Robeco Dynamic Advantage Fund
What’s the portfolio duration of UTI Dynamic Debt Fund?,UTI Dynamic Debt Fund
How has Quant Midcap Opportunities Fund performed against Nifty Midcap 150?,Quant Midcap Opportunities Fund
Is DSP World Infrastructure Fund good for global diversification?,DSP World Infrastructure Fund
What is the expense ratio trend for Motilal Oswal Nifty 500 Momentum 50 Index Fund?,Motilal Oswal Nifty 500 Momentum 50 Index Fund
Does Kotak Treasury Advantage Fund allow instant redemption?,Kotak Treasury Advantage Fund
What’s the portfolio allocation of Edelweiss Equity Advantage Fund?,Edelweiss Equity Advantage Fund
How has Canara Robeco Equity Growth Fund performed over 10 years?,Canara Robeco Equity Growth Fund
Is UTI Credit Opportunities Fund suitable for short-term goals?,UTI Credit Opportunities Fund
What is the risk profile of Quant Financial Services Fund?,Quant Financial Services Fund
Does DSP Nifty IT ETF allow monthly SIPs?,DSP Nifty IT ETF
What’s the performance of Motilal Oswal Growth Fund against its benchmark?,Motilal Oswal Growth Fund
How volatile is Kotak Multi Sector Fund?,Kotak Multi Sector Fund
Is Edelweiss Nifty Largecap 250 Index Fund good for largecap investing?,Edelweiss Nifty Largecap 250 Index Fund
What is the minimum SIP amount for Canara Robeco Conservative Hybrid Fund?,Canara Robeco Conservative Hybrid Fund
Does UTI Money Market Fund have a dividend payout option?,UTI Money Market Fund
What’s the benchmark for DSP Global Equity Fund?,DSP Global Equity Fund
How has Quant Retirement Advantage Fund performed over 2 years?,Quant Retirement Advantage Fund
Is Motilal Oswal Nifty Healthcare Index Fund suitable for healthcare exposure?,Motilal Oswal Nifty Healthcare Index Fund
What is the portfolio turnover of Kotak Equity Growth Fund?,Kotak Equity Growth Fund
Does Edelweiss Dynamic Debt Fund allow partial withdrawals?,Edelweiss Dynamic Debt Fund
What’s the performance of Canara Robeco Equity Advantage Fund since inception?,Canara Robeco Equity Advantage Fund
How volatile is UTI Balanced Fund?,UTI Balanced Fund
Is DSP Nifty Financial Services ETF good for financial exposure?,DSP Nifty Financial Services ETF
What is the minimum redemption amount for Quant Dynamic Equity Fund?,Quant Dynamic Equity Fund
Does Motilal Oswal Balanced Fund have a lock-in period?,Motilal Oswal Balanced Fund
What’s the portfolio yield of Kotak Medium Duration Fund?,Kotak Medium Duration Fund
How has Edelweiss Equity Savings Advantage Fund performed against Nifty 50?,Edelweiss Equity Savings Advantage Fund
Is Canara Robeco Treasury Fund a low-risk option?,Canara Robeco Treasury Fund
What is the expense ratio of UTI Nifty Largecap 250 Index Fund?,UTI Nifty Largecap 250 Index Fund
Does DSP Short Duration Fund offer a daily dividend plan?,DSP Short Duration Fund
What’s the performance of Motilal Oswal Equity Advantage Fund over the last 5 years?,Motilal Oswal Equity Advantage Fund
How volatile is Kotak Savings Advantage Fund?,Kotak Savings Advantage Fund
Is Quant Growth Fund suitable for high-risk investors?,Quant Growth Fund
What is the minimum investment for Edelweiss Global Equity FoF?,Edelweiss Global Equity FoF
Does Canara Robeco Liquid Advantage Fund offer SWP?,Canara Robeco Liquid Advantage Fund
What’s the portfolio duration of UTI Liquid Advantage Fund?,UTI Liquid Advantage Fund
How has DSP Sectoral Technology Fund performed against BSE IT?,DSP Sectoral Technology Fund
Is Motilal Oswal Nifty Midcap 150 ETF good for midcap exposure?,Motilal Oswal Nifty Midcap 150 ETF
What is the risk level of Kotak Credit Advantage Fund?,Kotak Credit Advantage Fund
Does Edelweiss Treasury Advantage Fund allow SIP investments?,Edelweiss Treasury Advantage Fund
What’s the performance of Canara Robeco Balanced Growth Fund over 3 years?,Canara Robeco Balanced Growth Fund
How volatile is Quant Value Growth Fund?,Quant Value Growth Fund
Is UTI Nifty Midcap 150 Value 50 Index Fund good for value investing?,UTI Nifty Midcap 150 Value 50 Index Fund
What is the minimum SIP amount for DSP Dynamic Equity Fund?,DSP Dynamic Equity Fund
Does Motilal Oswal Multi Asset Advantage Fund have a dividend option?,Motilal Oswal Multi Asset Advantage Fund
What’s the benchmark for Kotak Global Growth Fund?,Kotak Global Growth Fund
How has Edelweiss Equity Value Fund performed since launch?,Edelweiss Equity Value Fund
Is Canara Robeco Short Duration Advantage Fund suitable for emergency savings?,Canara Robeco Short Duration Advantage Fund
What is the expense ratio of Quant Sectoral Banking Fund?,Quant Sectoral Banking Fund
Does UTI Medium Duration Fund offer a growth plan?,UTI Medium Duration Fund
What’s the performance of DSP Multi Asset Growth Fund over the last 1 year?,DSP Multi Asset Growth Fund
How volatile is Motilal Oswal Sectoral Technology Fund?,Motilal Oswal Sectoral Technology Fund
Is Kotak Nifty IT Index Fund good for IT exposure?,Kotak Nifty IT Index Fund
What is the minimum redemption amount for Edelweiss Dynamic Advantage Fund?,Edelweiss Dynamic Advantage Fund
Does Canara Robeco Dynamic Growth Fund allow SWP?,Canara Robeco Dynamic Growth Fund
What’s the portfolio duration of UTI Dynamic Advantage Fund?,UTI Dynamic Advantage Fund
How has Quant Sectoral Technology Fund performed against BSE IT Index?,Quant Sectoral Technology Fund
Is DSP World Technology Fund good for global tech exposure?,DSP World Technology Fund
What is the expense ratio trend for Motilal Oswal Nifty Midcap 150 Value 50 Index Fund?,Motilal Oswal Nifty Midcap 150 Value 50 Index Fund
Does Kotak Liquid Advantage Fund allow instant redemption?,Kotak Liquid Advantage Fund
What’s the portfolio allocation of Edelweiss Equity Growth Advantage Fund?,Edelweiss Equity Growth Advantage Fund
How has Canara Robeco Equity Growth Advantage Fund performed over 10 years?,Canara Robeco Equity Growth Advantage Fund
Is UTI Credit Advantage Fund suitable for short-term goals?,UTI Credit Advantage Fund
What is the risk profile of Quant Sectoral Healthcare Fund?,Quant Sectoral Healthcare Fund
Does DSP Nifty Healthcare ETF allow monthly SIPs?,DSP Nifty Healthcare ETF
What’s the performance of Motilal Oswal Growth Advantage Fund against its benchmark?,Motilal Oswal Growth Advantage Fund
How volatile is Kotak Multi Asset Growth Fund?,Kotak Multi Asset Growth Fund
Is Edelweiss Nifty Midcap 150 Quality 50 Index Fund good for quality investing?,Edelweiss Nifty Midcap 150 Quality 50 Index Fund
What is the minimum SIP amount for Canara Robeco Balanced Advantage Fund?,Canara Robeco Balanced Advantage Fund
Does UTI Liquid Fund have a dividend payout option?,UTI Liquid Fund
What’s the benchmark for DSP Global Growth Fund?,DSP Global Growth Fund
How has Quant Sectoral Pharma Fund performed over 2 years?,Quant Sectoral Pharma Fund
Is Motilal Oswal Nifty Financial Services Index Fund suitable for financial exposure?,Motilal Oswal Nifty Financial Services Index Fund
What is the portfolio turnover of Kotak Equity Advantage Fund?,Kotak Equity Advantage Fund
Does Edelweiss Dynamic Growth Fund allow partial withdrawals?,Edelweiss Dynamic Growth Fund
What’s the performance of Canara Robeco Equity Advantage Fund since inception?,Canara Robeco Equity Advantage Fund
How volatile is UTI Balanced Advantage Fund?,UTI Balanced Advantage Fund
Is DSP Nifty IT Index Fund good for IT exposure?,DSP Nifty IT Index Fund
What is the minimum redemption amount for Quant Dynamic Growth Fund?,Quant Dynamic Growth Fund
Does Motilal Oswal Balanced Advantage Fund have a lock-in period?,Motilal Oswal Balanced Advantage Fund
What’s the portfolio yield of Kotak Medium Term Advantage Fund?,Kotak Medium Term Advantage Fund
How has Edelweiss Equity Advantage Fund performed against Nifty 50?,Edelweiss Equity Advantage Fund
Is Canara Robeco Treasury Advantage Fund a low-risk option?,Canara Robeco Treasury Advantage Fund
What is the expense ratio of UTI Nifty Midcap 150 Quality 50 Index Fund?,UTI Nifty Midcap 150 Quality 50 Index Fund
Does DSP Short Term Advantage Fund offer a daily dividend plan?,DSP Short Term Advantage Fund
What’s the performance of Motilal Oswal Equity Advantage Fund over the last 5 years?,Motilal Oswal Equity Advantage Fund
How volatile is Kotak Savings Advantage Fund?,Kotak Savings Advantage Fund
Is Quant Growth Advantage Fund suitable for high-risk investors?,Quant Growth Advantage Fund
What is the minimum investment for Edelweiss Global Growth FoF?,Edelweiss Global Growth FoF
Does Canara Robeco Liquid Growth Fund offer SWP?,Canara Robeco Liquid Growth Fund
What’s the portfolio duration of UTI Liquid Growth Fund?,UTI Liquid Growth Fund
How has DSP Sectoral Banking Advantage Fund performed against Nifty Bank?,DSP Sectoral Banking Advantage Fund
Is Motilal Oswal Nifty Midcap 150 Quality 50 ETF good for quality midcap exposure?,Motilal Oswal Nifty Midcap 150 Quality 50 ETF
What is the risk level of Kotak Credit Growth Fund?,Kotak Credit Growth Fund
Does Edelweiss Treasury Growth Fund allow SIP investments?,Edelweiss Treasury Growth Fund
What’s the performance of Canara Robeco Balanced Growth Advantage Fund over 3 years?,Canara Robeco Balanced Growth Advantage Fund
How volatile is Quant Value Growth Advantage Fund?,Quant Value Growth Advantage Fund
Is UTI Nifty Midcap 150 Momentum 50 Index Fund good for momentum investing?,UTI Nifty Midcap 150 Momentum 50 Index Fund
